,League,Time,,Home,Score,Away,Handicap,Corner,Goal Line,Dangerous Attack,Shots,Live Events,Analysis
,"

",,"

",,,,"

",,,,,,
""
,"

India Bangalore Super Division

",07:30,"

","




Students Union
",0 - 0,"
FC Agniputhra




","
-0.75
","

0 - 0
(0-0)

","

2.5 

1.0 
","
 - 

","
 - 

","
","

C.


O.


L.






"
,"

Indonesia Liga 3

",08:15,"

","




Persital FC
",0 - 0,"
Rajawali FC




","
-0.75
","

0 - 0
(0-0)

","

3.5 

1.5 
","
 - 

","
 - 

","
","

C.


O.


L.






"
,"

India Delhi Premier League

",09:00,"

","




Friends United
",0 - 0,"
Vatika FC




","
+0.75
","

0 - 0
(0-0)

","

4.0 

1.75 
","
 - 

","
 - 

","
","

C.


O.


L.






"
,"

Beach Soccer - 36 mins play

",09:30,"

","




Mozambique Beach
",0 - 0,"
Seychelles Beach




","
-4.5
","

0 - 0
(0-0)

","

10.0 


","
 - 

","
 - 

","
","

C.


O.


L.






"
,"

Indonesia Liga 2

",09:30,"

","




Perserang Serang
",0 - 0,"
PSDS Deli Serdang




","
0.0
","

0 - 0
(0-0)

","

2.25 

0.75 
","
 - 

","
 - 

","
","

C.


O.


L.






"
,"

Indonesia Liga 2

",10:00,"

","




Persiraja Aceh
",0 - 0,"
PSPS Pekanbaru




","
0.0
","

0 - 0
(0-0)

","

2.25 

0.75 
","
 - 

","
 - 

","
","

C.


O.


L.






"
,"

Indonesia Liga 2

",10:30,"

","




PSMS Medan
",0 - 0,"
Semen Padang




","
-0.5
","

0 - 0
(0-0)

","

2.5 

1.0 
","
 - 

","
 - 

","
","

C.


O.


L.






"
,"

India Shillong Premier League

",10:45,"

","




Rangdajied United FC
",0 - 0,"
Ryntih SC




","
-0.75
","

0 - 0
(0-0)

","

2.75 

1.0 
","
 - 

","
 - 

","
","

C.


O.


L.






"
,"

South Korea K League 2

",11:00,"

","




Jeonnam Dragons
",0 - 0,"
Busan I Park




","
-0.5
","

0 - 0
(0-0)

","

2.5 

1.0 
","
 - 

","
 - 

","
","

C.


O.


L.






"
,"

Beach Soccer - 36 mins play

",11:30,"

","




Senegal Beach
",0 - 0,"
South Africa Beach




","
-6.5
","

0 - 0
(0-0)

","

10.5 


","
 - 

","
 - 

","
","

C.


O.


L.






"
,"

South Korea K League 2

",11:30,"

","




Gwangju FC
",0 - 0,"
Ansan Greeners FC




","
-1.25
","

0 - 0
(0-0)

","

2.75 

1.25 
","
 - 

","
 - 

","
","

C.


O.


L.






"
,"

India Delhi Premier League

",11:45,"

","




Garhwal FC
",0 - 0,"
Uttarakhand FC




","
-2.25
","

0 - 0
(0-0)

","

4.25 

1.75 
","
 - 

","
 - 

","
","

C.


O.


L.






"
,"

England Development League 2

",12:00,"

","




Sheff Wed U21
",0 - 0,"
Wigan U21




","
+0.75
","

0 - 0
(0-0)

","

3.5 

1.25 
","
 - 

","
 - 

","
","

C.


O.


L.






"
,"

Indonesia Liga 2

",12:15,"

","




Persiba Balikpapan
",0 - 0,"
Deltras Sidoarjo




","
-0.25
","

0 - 0
(0-0)

","

2.5 

1.0 
","
 - 

","
 - 

","
","

C.


O.


L.






"
